date,exposures,carts,behavior_orders,pays,favorites,reviews,shares,active_users,sessions,gmv,orders,buyers,aov,cart_rate,order_rate,pay_rate,favorite_rate,share_rate,review_rate,period
2025-02-07,4,4,3,1,5,3,3,20,23,5732.370000000001,2.0,2.0,2866.1850000000004,1.0,0.75,0.3333333333333333,1.25,0.75,3.0,previous_period
2025-02-08,9,6,9,4,8,5,5,30,46,13991.14,6.0,6.0,2331.8566666666666,0.6666666666666666,1.5,0.4444444444444444,0.8888888888888888,0.5555555555555556,1.25,previous_period
2025-02-09,13,5,3,4,6,8,4,30,43,2699.88,1.0,1.0,2699.88,0.38461538461538464,0.6,1.3333333333333333,0.46153846153846156,0.3076923076923077,2.0,previous_period
2025-02-10,12,8,5,0,6,1,1,24,33,6273.8,2.0,2.0,3136.9,0.6666666666666666,0.625,0.0,0.5,0.08333333333333333,,previous_period
2025-02-11,5,2,4,0,5,3,2,16,21,2399.07,1.0,1.0,2399.07,0.4,2.0,0.0,1.0,0.4,,previous_period
2025-02-12,7,5,4,1,2,2,2,15,23,9347.47,3.0,3.0,3115.8233333333333,0.7142857142857143,0.8,0.25,0.2857142857142857,0.2857142857142857,2.0,previous_period
2025-02-13,4,5,2,2,3,4,1,17,21,15120.57,6.0,6.0,2520.095,1.25,0.4,1.0,0.75,0.25,2.0,previous_period
2025-02-14,6,6,5,4,6,1,2,25,30,16486.8,6.0,6.0,2747.7999999999997,1.0,0.8333333333333334,0.8,1.0,0.3333333333333333,0.25,previous_period
2025-02-15,2,1,4,4,6,1,5,22,23,5200.76,2.0,2.0,2600.38,0.5,4.0,1.0,3.0,2.5,0.25,previous_period
2025-02-16,9,10,5,3,9,0,6,28,42,3029.51,3.0,3.0,1009.8366666666667,1.1111111111111112,0.5,0.6,1.0,0.6666666666666666,0.0,previous_period
2025-02-17,3,4,3,2,1,1,2,16,16,15576.93,5.0,5.0,3115.386,1.3333333333333333,0.75,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5,previous_period
2025-02-18,12,6,1,3,1,8,1,31,32,10603.86,5.0,5.0,2120.772,0.5,0.16666666666666666,3.0,0.08333333333333333,0.08333333333333333,2.6666666666666665,previous_period
2025-02-19,7,7,4,5,5,0,2,21,30,12173.13,4.0,4.0,3043.2825,1.0,0.5714285714285714,1.25,0.7142857142857143,0.2857142857142857,0.0,previous_period
2025-02-20,9,4,1,3,8,2,3,24,30,9241.05,3.0,3.0,3080.35,0.4444444444444444,0.25,3.0,0.8888888888888888,0.3333333333333333,0.6666666666666666,previous_period
2025-02-21,11,7,2,5,5,5,2,23,37,15553.36,6.0,6.0,2592.226666666667,0.6363636363636364,0.2857142857142857,2.5,0.45454545454545453,0.18181818181818182,1.0,previous_period
2025-02-22,5,8,2,4,6,1,4,23,30,11980.369999999999,4.0,4.0,2995.0924999999997,1.6,0.25,2.0,1.2,0.8,0.25,previous_period
2025-02-23,8,4,6,1,5,2,4,21,30,8078.06,3.0,3.0,2692.686666666667,0.5,1.5,0.16666666666666666,0.625,0.5,2.0,previous_period
2025-02-24,5,4,4,1,4,1,3,17,22,3386.3099999999995,2.0,2.0,1693.1549999999997,0.8,1.0,0.25,0.8,0.6,1.0,previous_period
2025-02-25,14,6,4,6,8,4,2,27,44,6614.63,3.0,3.0,2204.8766666666666,0.42857142857142855,0.6666666666666666,1.5,0.5714285714285714,0.14285714285714285,0.6666666666666666,previous_period
2025-02-26,10,6,5,4,9,2,2,30,38,2779.1,1.0,1.0,2779.1,0.6,0.8333333333333334,0.8,0.9,0.2,0.5,previous_period
2025-02-27,8,9,6,6,4,1,5,26,39,7259.5,3.0,3.0,2419.8333333333335,1.125,0.6666666666666666,1.0,0.5,0.625,0.16666666666666666,previous_period
2025-02-28,9,4,4,5,4,1,2,21,29,5561.110000000001,2.0,2.0,2780.5550000000003,0.4444444444444444,1.0,1.25,0.4444444444444444,0.2222222222222222,0.2,previous_period
2025-03-01,5,4,3,7,7,2,2,19,30,4722.72,2.0,2.0,2361.36,0.8,0.75,2.3333333333333335,1.4,0.4,0.2857142857142857,previous_period
2025-03-02,6,3,3,3,4,6,8,23,33,18627.91,8.0,8.0,2328.48875,0.5,1.0,1.0,0.6666666666666666,1.3333333333333333,2.0,previous_period
2025-03-03,10,10,3,7,8,3,2,19,43,11120.099999999999,4.0,4.0,2780.0249999999996,1.0,0.3,2.3333333333333335,0.8,0.2,0.42857142857142855,previous_period
2025-03-04,8,12,6,8,8,5,5,30,52,4977.62,2.0,2.0,2488.81,1.5,0.5,1.3333333333333333,1.0,0.625,0.625,previous_period
2025-03-05,13,4,5,2,7,1,3,24,35,0.0,0.0,0.0,,0.3076923076923077,1.25,0.4,0.5384615384615384,0.23076923076923078,0.5,previous_period
2025-03-06,10,9,4,1,4,4,3,30,35,6859.35,2.0,2.0,3429.675,0.9,0.4444444444444444,0.25,0.4,0.3,4.0,previous_period
2025-03-07,10,7,6,9,6,4,5,28,47,9295.71,3.0,3.0,3098.5699999999997,0.7,0.8571428571428571,1.5,0.6,0.5,0.4444444444444444,previous_period
2025-03-08,5,6,1,1,5,1,3,20,22,1091.6799999999998,2.0,2.0,545.8399999999999,1.2,0.16666666666666666,1.0,1.0,0.6,1.0,previous_period
2025-03-09,13,7,4,6,6,3,3,22,42,11125.15,4.0,4.0,2781.2875,0.5384615384615384,0.5714285714285714,1.5,0.46153846153846156,0.23076923076923078,0.5,previous_period
2025-03-10,7,6,5,4,4,5,4,27,35,5609.62,2.0,2.0,2804.81,0.8571428571428571,0.8333333333333334,0.8,0.5714285714285714,0.5714285714285714,1.25,previous_period
2025-03-11,9,7,1,3,4,3,4,23,31,6679.26,3.0,3.0,2226.42,0.7777777777777778,0.14285714285714285,3.0,0.4444444444444444,0.4444444444444444,1.0,previous_period
2025-03-12,10,5,7,5,5,3,5,19,40,9112.56,3.0,3.0,3037.52,0.5,1.4,0.7142857142857143,0.5,0.5,0.6,previous_period
2025-03-13,11,10,6,5,8,5,4,29,49,5419.370000000001,2.0,2.0,2709.6850000000004,0.9090909090909091,0.6,0.8333333333333334,0.7272727272727273,0.36363636363636365,1.0,previous_period
2025-03-14,8,8,4,3,6,0,1,20,30,3153.04,2.0,2.0,1576.52,1.0,0.5,0.75,0.75,0.125,0.0,previous_period
2025-03-15,5,3,6,4,5,4,3,21,30,5393.81,2.0,2.0,2696.905,0.6,2.0,0.6666666666666666,1.0,0.6,1.0,previous_period
2025-03-16,12,6,8,4,4,4,4,37,42,7870.1,3.0,3.0,2623.366666666667,0.5,1.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,1.0,previous_period
2025-03-17,3,5,5,1,3,4,2,16,23,10441.03,3.0,3.0,3480.3433333333337,1.6666666666666667,1.0,0.2,1.0,0.6666666666666666,4.0,previous_period
2025-03-18,6,2,4,5,2,4,3,16,26,13583.73,5.0,5.0,2716.746,0.3333333333333333,2.0,1.25,0.3333333333333333,0.5,0.8,previous_period
2025-03-19,8,3,4,4,2,4,1,21,26,4154.7,1.0,1.0,4154.7,0.375,1.3333333333333333,1.0,0.25,0.125,1.0,previous_period
2025-03-20,8,7,4,6,5,6,4,24,40,5071.379999999999,2.0,2.0,2535.6899999999996,0.875,0.5714285714285714,1.5,0.625,0.5,1.0,previous_period
2025-03-21,12,8,6,6,5,5,3,27,45,13345.02,5.0,5.0,2669.004,0.6666666666666666,0.75,1.0,0.4166666666666667,0.25,0.8333333333333334,previous_period
2025-03-22,7,9,4,5,8,7,5,26,45,9199.48,4.0,4.0,2299.87,1.2857142857142858,0.4444444444444444,1.25,1.1428571428571428,0.7142857142857143,1.4,previous_period
2025-03-23,5,7,2,7,3,2,4,22,30,22656.41,8.0,8.0,2832.05125,1.4,0.2857142857142857,3.5,0.6,0.8,0.2857142857142857,previous_period
2025-03-24,12,8,6,8,8,2,2,25,46,5511.97,5.0,5.0,1102.394,0.6666666666666666,0.75,1.3333333333333333,0.6666666666666666,0.16666666666666666,0.25,previous_period
2025-03-25,9,6,5,7,8,3,5,30,43,8506.779999999999,4.0,4.0,2126.6949999999997,0.6666666666666666,0.8333333333333334,1.4,0.8888888888888888,0.5555555555555556,0.42857142857142855,previous_period
2025-03-26,8,4,5,4,8,3,1,20,33,8066.22,4.0,4.0,2016.555,0.5,1.25,0.8,1.0,0.125,0.75,previous_period
2025-03-27,11,8,3,1,6,1,6,20,36,8838.79,4.0,4.0,2209.6975,0.7272727272727273,0.375,0.3333333333333333,0.5454545454545454,0.5454545454545454,1.0,previous_period
2025-03-28,10,5,4,8,8,4,3,30,42,7424.99,2.0,2.0,3712.495,0.5,0.8,2.0,0.8,0.3,0.5,previous_period
2025-04-01,8,8,7,4,5,3,1,20,36,10343.08,4.0,4.0,2585.77,1.0,0.875,0.5714285714285714,0.625,0.125,0.75,previous_period
2025-04-02,3,4,1,2,3,2,5,19,20,0.0,0.0,0.0,,1.3333333333333333,0.25,2.0,1.0,1.6666666666666667,1.0,previous_period
2025-04-03,9,8,6,2,8,4,0,26,37,411.2,1.0,1.0,411.2,0.8888888888888888,0.75,0.3333333333333333,0.8888888888888888,0.0,2.0,previous_period
2025-04-04,10,5,4,3,7,2,2,26,33,8680.71,3.0,3.0,2893.5699999999997,0.5,0.8,0.75,0.7,0.2,0.6666666666666666,previous_period
2025-04-05,8,6,3,0,5,2,0,18,24,827.25,2.0,2.0,413.625,0.75,0.5,0.0,0.625,0.0,,previous_period
2025-04-06,7,5,4,2,3,1,4,19,26,10355.24,4.0,4.0,2588.81,0.7142857142857143,0.8,0.5,0.42857142857142855,0.5714285714285714,0.5,previous_period
2025-04-07,6,3,3,2,2,3,5,21,24,11614.39,4.0,4.0,2903.5975,0.5,1.0,0.6666666666666666,0.3333333333333333,0.8333333333333334,1.5,previous_period
2025-04-08,7,9,7,3,6,3,6,21,41,11955.65,6.0,6.0,1992.6083333333333,1.2857142857142858,0.7777777777777778,0.42857142857142855,0.8571428571428571,0.8571428571428571,1.0,previous_period
2025-04-09,9,5,4,3,4,2,2,19,29,9086.51,4.0,4.0,2271.6275,0.5555555555555556,0.8,0.75,0.4444444444444444,0.2222222222222222,0.6666666666666666,previous_period
2025-04-10,11,3,1,2,5,3,1,21,26,4125.37,3.0,3.0,1375.1233333333332,0.2727272727272727,0.3333333333333333,2.0,0.45454545454545453,0.09090909090909091,1.5,previous_period
2025-04-11,3,4,3,2,1,6,5,23,24,4780.04,2.0,2.0,2390.02,1.3333333333333333,0.75,0.6666666666666666,0.3333333333333333,1.6666666666666667,3.0,previous_period
2025-04-12,7,7,8,4,5,2,0,28,33,17436.23,8.0,8.0,2179.52875,1.0,1.1428571428571428,0.5,0.7142857142857143,0.0,0.5,previous_period
2025-04-13,14,10,9,7,11,3,3,35,57,10477.77,4.0,4.0,2619.4425,0.7142857142857143,0.9,0.7777777777777778,0.7857142857142857,0.21428571428571427,0.42857142857142855,previous_period
2025-04-14,9,4,1,4,3,3,2,20,26,10263.09,4.0,4.0,2565.7725,0.4444444444444444,0.25,4.0,0.3333333333333333,0.2222222222222222,0.75,previous_period
2025-04-15,12,6,9,5,5,4,6,32,47,3325.0,1.0,1.0,3325.0,0.5,1.5,0.5555555555555556,0.4166666666666667,0.5,0.8,previous_period
2025-04-16,9,6,2,1,4,3,5,21,30,11288.2,4.0,4.0,2822.05,0.6666666666666666,0.3333333333333333,0.5,0.4444444444444444,0.5555555555555556,3.0,previous_period
2025-04-17,12,9,6,5,8,1,2,23,43,13164.48,6.0,6.0,2194.08,0.75,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.16666666666666666,0.2,previous_period
2025-04-18,8,8,4,6,7,2,3,25,38,0.0,0.0,0.0,,1.0,0.5,1.5,0.875,0.375,0.3333333333333333,previous_period
2025-04-19,10,10,6,5,7,6,3,26,47,5639.1,3.0,3.0,1879.7,1.0,0.6,0.8333333333333334,0.7,0.3,1.2,previous_period
2025-04-20,5,3,2,5,5,1,2,15,23,4729.530000000001,3.0,3.0,1576.5100000000002,0.6,0.6666666666666666,2.5,1.0,0.4,0.2,previous_period
2025-04-21,8,5,2,4,5,4,2,22,30,7860.55,4.0,4.0,1965.1375,0.625,0.4,2.0,0.625,0.25,1.0,previous_period
2025-04-22,7,6,3,3,4,1,1,19,25,1824.69,1.0,1.0,1824.69,0.8571428571428571,0.5,1.0,0.5714285714285714,0.14285714285714285,0.3333333333333333,previous_period
2025-04-23,5,4,6,3,3,3,2,21,26,11229.94,3.0,3.0,3743.3133333333335,0.8,1.5,0.5,0.6,0.4,1.0,previous_period
2025-04-24,6,6,7,5,6,5,2,27,37,10741.39,4.0,4.0,2685.3475,1.0,1.1666666666666667,0.7142857142857143,1.0,0.3333333333333333,1.0,previous_period
2025-04-25,11,7,5,3,9,2,2,26,39,10100.99,5.0,5.0,2020.1979999999999,0.6363636363636364,0.7142857142857143,0.6,0.8181818181818182,0.18181818181818182,0.6666666666666666,previous_period
2025-04-26,6,7,2,2,4,3,2,18,26,10981.21,5.0,5.0,2196.2419999999997,1.1666666666666667,0.2857142857142857,1.0,0.6666666666666666,0.3333333333333333,1.5,previous_period
2025-04-27,10,10,7,4,7,1,2,25,41,13408.59,6.0,6.0,2234.765,1.0,0.7,0.5714285714285714,0.7,0.2,0.25,previous_period
2025-04-28,6,10,2,3,4,2,2,22,29,6118.37,2.0,2.0,3059.185,1.6666666666666667,0.2,1.5,0.6666666666666666,0.3333333333333333,0.6666666666666666,previous_period
2025-05-01,6,4,5,2,6,4,4,22,31,15277.17,4.0,4.0,3819.2925,0.6666666666666666,1.25,0.4,1.0,0.6666666666666666,2.0,previous_period
2025-05-02,5,4,4,0,6,4,2,18,25,13878.47,7.0,7.0,1982.6385714285714,0.8,1.0,0.0,1.2,0.4,,previous_period
2025-05-03,17,8,5,9,6,2,2,26,49,4560.03,1.0,1.0,4560.03,0.47058823529411764,0.625,1.8,0.35294117647058826,0.11764705882352941,0.2222222222222222,previous_period
2025-05-04,9,10,6,3,4,5,3,24,40,4168.59,2.0,2.0,2084.295,1.1111111111111112,0.6,0.5,0.4444444444444444,0.3333333333333333,1.6666666666666667,previous_period
2025-05-05,6,6,5,5,2,3,3,22,30,3253.34,1.0,1.0,3253.34,1.0,0.8333333333333334,1.0,0.3333333333333333,0.5,0.6,previous_period
2025-05-06,5,3,2,2,1,0,4,17,17,18346.55,6.0,6.0,3057.758333333333,0.6,0.6666666666666666,1.0,0.2,0.8,0.0,previous_period
2025-05-07,9,9,3,3,6,5,4,24,39,4408.18,2.0,2.0,2204.09,1.0,0.3333333333333333,1.0,0.6666666666666666,0.4444444444444444,1.6666666666666667,previous_period
2025-05-08,5,5,4,0,4,0,3,18,21,7532.450000000001,4.0,4.0,1883.1125000000002,1.0,0.8,0.0,0.8,0.6,,previous_period
2025-05-09,10,10,3,2,6,4,4,31,39,7436.22,3.0,3.0,2478.7400000000002,1.0,0.3,0.6666666666666666,0.6,0.4,2.0,previous_period
2025-05-10,12,8,5,2,8,2,3,26,40,4693.04,2.0,2.0,2346.52,0.6666666666666666,0.625,0.4,0.6666666666666666,0.25,1.0,previous_period
2025-05-11,6,5,2,2,5,2,3,20,25,1739.39,1.0,1.0,1739.39,0.8333333333333334,0.4,1.0,0.8333333333333334,0.5,1.0,previous_period
2025-05-12,8,6,6,3,6,4,4,23,37,4461.02,1.0,1.0,4461.02,0.75,1.0,0.5,0.75,0.5,1.3333333333333333,previous_period
2025-05-13,7,3,8,5,3,3,2,24,31,12639.65,5.0,5.0,2527.93,0.42857142857142855,2.6666666666666665,0.625,0.42857142857142855,0.2857142857142857,0.6,previous_period
2025-05-14,6,5,3,2,2,3,5,24,26,1743.32,1.0,1.0,1743.32,0.8333333333333334,0.6,0.6666666666666666,0.3333333333333333,0.8333333333333334,1.5,previous_period
2025-05-15,8,4,3,5,5,3,1,21,29,3541.41,2.0,2.0,1770.705,0.5,0.75,1.6666666666666667,0.625,0.125,0.6,previous_period
2025-05-16,5,5,6,3,4,3,1,25,27,0.0,0.0,0.0,,1.0,1.2,0.5,0.8,0.2,1.0,previous_period
2025-05-17,9,5,4,5,5,2,3,21,33,15979.5,5.0,5.0,3195.9,0.5555555555555556,0.8,1.25,0.5555555555555556,0.3333333333333333,0.4,previous_period
2025-05-18,5,5,4,1,6,1,1,17,23,9900.69,3.0,3.0,3300.23,1.0,0.8,0.25,1.2,0.2,1.0,previous_period
2025-05-19,13,12,6,6,12,4,2,34,55,9628.85,2.0,2.0,4814.425,0.9230769230769231,0.5,1.0,0.9230769230769231,0.15384615384615385,0.6666666666666666,previous_period
2025-05-20,9,7,5,3,9,2,3,31,38,13869.4,4.0,4.0,3467.35,0.7777777777777778,0.7142857142857143,0.6,1.0,0.3333333333333333,0.6666666666666666,previous_period
2025-05-21,10,6,9,4,10,5,8,34,52,14889.64,6.0,6.0,2481.6066666666666,0.6,1.5,0.4444444444444444,1.0,0.8,1.25,previous_period
2025-05-22,9,6,6,3,1,6,1,30,32,2157.64,1.0,1.0,2157.64,0.6666666666666666,1.0,0.5,0.1111111111111111,0.1111111111111111,2.0,previous_period
2025-05-23,6,8,3,0,2,3,4,22,26,753.59,1.0,1.0,753.59,1.3333333333333333,0.375,0.0,0.3333333333333333,0.6666666666666666,,previous_period
2025-05-24,5,3,4,3,5,2,4,20,26,6819.99,3.0,3.0,2273.33,0.6,1.3333333333333333,0.75,1.0,0.8,0.6666666666666666,previous_period
2025-05-25,4,4,3,1,4,7,3,22,26,15953.0,5.0,5.0,3190.6,1.0,0.75,0.3333333333333333,1.0,0.75,7.0,previous_period
2025-05-26,6,7,5,2,5,3,2,24,30,6217.33,2.0,2.0,3108.665,1.1666666666666667,0.7142857142857143,0.4,0.8333333333333334,0.3333333333333333,1.5,previous_period
2025-05-27,9,3,4,4,4,5,2,20,31,13607.51,6.0,6.0,2267.9183333333335,0.3333333333333333,1.3333333333333333,1.0,0.4444444444444444,0.2222222222222222,1.25,previous_period
2025-05-28,12,8,4,3,8,2,3,28,40,10034.68,3.0,3.0,3344.8933333333334,0.6666666666666666,0.5,0.75,0.6666666666666666,0.25,0.6666666666666666,previous_period
2025-06-01,7,6,5,5,6,2,3,28,34,3344.18,2.0,2.0,1672.09,0.8571428571428571,0.8333333333333334,1.0,0.8571428571428571,0.42857142857142855,0.4,previous_period
2025-06-02,17,12,6,4,7,2,4,27,52,12095.77,5.0,5.0,2419.154,0.7058823529411765,0.5,0.6666666666666666,0.4117647058823529,0.23529411764705882,0.5,previous_period
2025-06-03,10,4,4,3,6,1,1,20,29,3669.04,2.0,2.0,1834.52,0.4,1.0,0.75,0.6,0.1,0.3333333333333333,previous_period
2025-06-04,6,9,4,5,5,5,2,25,36,3149.67,1.0,1.0,3149.67,1.5,0.4444444444444444,1.25,0.8333333333333334,0.3333333333333333,1.0,previous_period
2025-06-05,9,4,4,4,5,4,1,23,31,1342.7600000000002,3.0,3.0,447.58666666666676,0.4444444444444444,1.0,1.0,0.5555555555555556,0.1111111111111111,1.0,previous_period
2025-06-06,9,6,6,2,8,3,3,23,37,21869.29,7.0,7.0,3124.184285714286,0.6666666666666666,1.0,0.3333333333333333,0.8888888888888888,0.3333333333333333,1.5,previous_period
2025-06-07,2,6,1,3,2,1,2,14,17,14256.53,5.0,5.0,2851.306,3.0,0.16666666666666666,3.0,1.0,1.0,0.3333333333333333,previous_period
2025-06-08,12,7,6,6,6,3,1,33,41,1161.6000000000001,2.0,2.0,580.8000000000001,0.5833333333333334,0.8571428571428571,1.0,0.5,0.08333333333333333,0.5,previous_period
2025-06-09,10,9,4,4,4,3,3,25,37,5938.2,2.0,2.0,2969.1,0.9,0.4444444444444444,1.0,0.4,0.3,0.75,previous_period
2025-06-10,9,10,8,4,8,2,2,31,43,1761.38,2.0,2.0,880.69,1.1111111111111112,0.8,0.5,0.8888888888888888,0.2222222222222222,0.5,previous_period
2025-06-11,8,7,8,7,3,4,2,32,39,5353.39,2.0,2.0,2676.695,0.875,1.1428571428571428,0.875,0.375,0.25,0.5714285714285714,previous_period
2025-06-12,6,8,3,2,4,2,2,21,27,14938.310000000001,7.0,7.0,2134.0442857142857,1.3333333333333333,0.375,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,previous_period
2025-06-13,14,9,9,5,6,3,1,27,47,10252.07,3.0,3.0,3417.3566666666666,0.6428571428571429,1.0,0.5555555555555556,0.42857142857142855,0.07142857142857142,0.6,previous_period
2025-06-14,9,4,2,2,2,4,3,20,26,17006.5,5.0,5.0,3401.3,0.4444444444444444,0.5,1.0,0.2222222222222222,0.3333333333333333,2.0,previous_period
2025-06-15,8,4,2,4,7,2,0,24,27,14526.55,5.0,5.0,2905.31,0.5,0.5,2.0,0.875,0.0,0.5,previous_period
2025-06-16,14,10,7,5,7,4,2,29,49,1793.92,2.0,2.0,896.96,0.7142857142857143,0.7,0.7142857142857143,0.5,0.14285714285714285,0.8,previous_period
2025-06-17,4,3,5,2,5,0,4,17,23,4505.07,3.0,3.0,1501.6899999999998,0.75,1.6666666666666667,0.4,1.25,1.0,0.0,previous_period
2025-06-18,4,3,5,7,4,4,2,23,29,8304.11,2.0,2.0,4152.055,0.75,1.6666666666666667,1.4,1.0,0.5,0.5714285714285714,previous_period
2025-06-19,7,3,3,4,3,3,2,20,25,9166.310000000001,2.0,2.0,4583.155000000001,0.42857142857142855,1.0,1.3333333333333333,0.42857142857142855,0.2857142857142857,0.75,previous_period
2025-06-20,8,6,5,0,5,4,1,19,29,13298.630000000001,4.0,4.0,3324.6575000000003,0.75,0.8333333333333334,0.0,0.625,0.125,,previous_period
2025-06-21,6,9,3,4,8,4,1,24,35,5524.5199999999995,4.0,4.0,1381.1299999999999,1.5,0.3333333333333333,1.3333333333333333,1.3333333333333333,0.16666666666666666,1.0,previous_period
2025-06-22,5,5,4,7,2,8,5,30,36,13626.82,4.0,4.0,3406.705,1.0,0.8,1.75,0.4,1.0,1.1428571428571428,previous_period
