category,ym,cart,favorite,impression,order_behavior,payment,review,share,click,gmv,order_count,item_count,ctr,cvr,payment_rate,favorite_rate,review_rate,share_rate,arpu
家居用品,2025-01,19,19,24,16,14,6,11,0,48799.72,45,51,0.7916666666666666,0.8421052631578947,0.875,0.7916666666666666,0.42857142857142855,0.4583333333333333,1084.4382222222223
家居用品,2025-02,21,13,28,14,6,9,10,0,66225.0,57,63,0.75,0.6666666666666666,0.42857142857142855,0.4642857142857143,1.5,0.35714285714285715,1161.842105263158
家居用品,2025-03,28,22,33,16,21,11,13,0,70590.27,62,70,0.8484848484848485,0.5714285714285714,1.3125,0.6666666666666666,0.5238095238095238,0.3939393939393939,1138.552741935484
家居用品,2025-04,25,23,31,15,10,11,15,0,51107.08,51,54,0.8064516129032258,0.6,0.6666666666666666,0.7419354838709677,1.1,0.4838709677419355,1002.0996078431373
家居用品,2025-05,22,13,26,15,5,10,9,0,64799.9,54,62,0.8461538461538461,0.6818181818181818,0.3333333333333333,0.5,2.0,0.34615384615384615,1199.9981481481482
家居用品,2025-06,25,23,37,25,15,10,7,0,65041.53,55,61,0.6756756756756757,1.0,0.6,0.6216216216216216,0.6666666666666666,0.1891891891891892,1182.5732727272728
家居用品,2025-07,23,19,30,18,18,10,11,0,41557.06,42,43,0.7666666666666667,0.782608695652174,1.0,0.6333333333333333,0.5555555555555556,0.36666666666666664,989.4538095238095
家居用品,2025-08,14,21,34,10,15,11,7,0,48110.07,41,44,0.4117647058823529,0.7142857142857143,1.5,0.6176470588235294,0.7333333333333333,0.20588235294117646,1173.4163414634147
家居用品,2025-09,20,14,27,16,15,8,5,0,56452.78,43,49,0.7407407407407407,0.8,0.9375,0.5185185185185185,0.5333333333333333,0.18518518518518517,1312.8553488372092
家居用品,2025-10,15,17,23,12,12,10,7,0,75803.64,63,65,0.6521739130434783,0.8,1.0,0.7391304347826086,0.8333333333333334,0.30434782608695654,1203.232380952381
家居用品,2025-11,19,14,26,15,14,9,7,0,42350.76,41,41,0.7307692307692307,0.7894736842105263,0.9333333333333333,0.5384615384615384,0.6428571428571429,0.2692307692307692,1032.9453658536586
家居用品,2025-12,18,13,22,12,16,9,14,0,43249.5,46,50,0.8181818181818182,0.6666666666666666,1.3333333333333333,0.5909090909090909,0.5625,0.6363636363636364,940.2065217391304
家居用品,2026-01,13,13,16,10,16,11,11,0,62217.47,59,64,0.8125,0.7692307692307693,1.6,0.8125,0.6875,0.6875,1054.5333898305084
家居用品,2026-02,23,18,36,14,15,10,17,0,52843.38,41,47,0.6388888888888888,0.6086956521739131,1.0714285714285714,0.5,0.6666666666666666,0.4722222222222222,1288.8629268292682
家居用品,2026-03,24,15,21,12,11,14,8,0,47011.26,52,56,1.1428571428571428,0.5,0.9166666666666666,0.7142857142857143,1.2727272727272727,0.38095238095238093,904.0626923076924
家居用品,2026-04,18,9,17,9,9,14,5,0,46491.94,43,45,1.0588235294117647,0.5,1.0,0.5294117647058824,1.5555555555555556,0.29411764705882354,1081.2079069767442
家居用品,2026-05,20,13,26,13,8,7,2,0,56891.53,51,54,0.7692307692307693,0.65,0.6153846153846154,0.5,0.875,0.07692307692307693,1115.5201960784314
家居用品,2026-06,18,14,31,17,11,6,13,0,61036.62,56,61,0.5806451612903226,0.9444444444444444,0.6470588235294118,0.45161290322580644,0.5454545454545454,0.41935483870967744,1089.9396428571429
家居用品,2026-07,21,12,25,10,8,16,13,0,57699.23,56,64,0.84,0.47619047619047616,0.8,0.48,2.0,0.52,1030.3433928571428
家居用品,2026-08,19,15,31,15,14,12,10,0,55741.65,51,54,0.6129032258064516,0.7894736842105263,0.9333333333333333,0.4838709677419355,0.8571428571428571,0.3225806451612903,1092.9735294117647
家居用品,2026-09,18,16,19,10,9,12,5,0,67081.75,54,62,0.9473684210526315,0.5555555555555556,0.9,0.8421052631578947,1.3333333333333333,0.2631578947368421,1242.2546296296296
家居用品,2026-10,17,10,23,11,10,13,10,0,66663.51,57,64,0.7391304347826086,0.6470588235294118,0.9090909090909091,0.43478260869565216,1.3,0.43478260869565216,1169.5352631578946
家居用品,2026-11,28,18,35,17,16,11,9,0,60265.72,49,58,0.8,0.6071428571428571,0.9411764705882353,0.5142857142857142,0.6875,0.2571428571428571,1229.9126530612245
家居用品,2026-12,16,10,20,18,8,8,10,0,70720.58,58,64,0.8,1.125,0.4444444444444444,0.5,1.0,0.5,1219.3203448275863
服装鞋帽,2025-01,14,15,24,12,13,9,9,0,62703.67,61,67,0.5833333333333334,0.8571428571428571,1.0833333333333333,0.625,0.6923076923076923,0.375,1027.9290163934427
服装鞋帽,2025-02,13,17,19,13,8,12,11,0,56881.9,54,57,0.6842105263157895,1.0,0.6153846153846154,0.8947368421052632,1.5,0.5789473684210527,1053.3685185185186
服装鞋帽,2025-03,17,17,26,8,17,13,16,0,50816.96,52,56,0.6538461538461539,0.47058823529411764,2.125,0.6538461538461539,0.7647058823529411,0.6153846153846154,977.2492307692307
服装鞋帽,2025-04,17,20,30,17,10,8,6,0,36671.090000000004,40,40,0.5666666666666667,1.0,0.5882352941176471,0.6666666666666666,0.8,0.2,916.7772500000001
服装鞋帽,2025-05,15,19,24,16,5,12,5,0,61354.159999999996,53,62,0.625,1.0666666666666667,0.3125,0.7916666666666666,2.4,0.20833333333333334,1157.6256603773584
服装鞋帽,2025-06,17,13,18,22,10,10,10,0,68173.67,55,61,0.9444444444444444,1.2941176470588236,0.45454545454545453,0.7222222222222222,1.0,0.5555555555555556,1239.5212727272726
服装鞋帽,2025-07,18,11,21,10,10,9,9,0,33072.6,33,37,0.8571428571428571,0.5555555555555556,1.0,0.5238095238095238,0.9,0.42857142857142855,1002.1999999999999
服装鞋帽,2025-08,13,12,21,8,9,8,8,0,51924.55,44,51,0.6190476190476191,0.6153846153846154,1.125,0.5714285714285714,0.8888888888888888,0.38095238095238093,1180.103409090909
服装鞋帽,2025-09,18,18,25,17,11,10,11,0,53516.36,52,56,0.72,0.9444444444444444,0.6470588235294118,0.72,0.9090909090909091,0.44,1029.1607692307693
服装鞋帽,2025-10,24,23,28,12,9,7,9,0,66720.42,61,65,0.8571428571428571,0.5,0.75,0.8214285714285714,0.7777777777777778,0.32142857142857145,1093.7773770491804
服装鞋帽,2025-11,18,13,23,7,12,13,10,0,44556.46,39,42,0.782608695652174,0.3888888888888889,1.7142857142857142,0.5652173913043478,1.0833333333333333,0.43478260869565216,1142.4733333333334
服装鞋帽,2025-12,17,13,21,6,10,8,6,0,73018.16,68,74,0.8095238095238095,0.35294117647058826,1.6666666666666667,0.6190476190476191,0.8,0.2857142857142857,1073.7964705882353
服装鞋帽,2026-01,20,12,26,16,12,7,5,0,65429.57,52,57,0.7692307692307693,0.8,0.75,0.46153846153846156,0.5833333333333334,0.19230769230769232,1258.2609615384615
服装鞋帽,2026-02,19,17,32,24,17,13,8,0,55848.5,55,57,0.59375,1.263157894736842,0.7083333333333334,0.53125,0.7647058823529411,0.25,1015.4272727272727
服装鞋帽,2026-03,13,10,25,11,8,8,7,0,38368.54,39,44,0.52,0.8461538461538461,0.7272727272727273,0.4,1.0,0.28,983.808717948718
服装鞋帽,2026-04,13,13,20,13,4,5,8,0,59107.96,55,59,0.65,1.0,0.3076923076923077,0.65,1.25,0.4,1074.6901818181818
服装鞋帽,2026-05,16,18,20,12,12,16,5,0,43077.84,45,48,0.8,0.75,1.0,0.9,1.3333333333333333,0.25,957.2853333333333
服装鞋帽,2026-06,15,14,24,8,14,6,9,0,67814.09,70,74,0.625,0.5333333333333333,1.75,0.5833333333333334,0.42857142857142855,0.375,968.7727142857142
服装鞋帽,2026-07,9,15,20,6,8,12,15,0,63893.06,53,59,0.45,0.6666666666666666,1.3333333333333333,0.75,1.5,0.75,1205.5294339622642
服装鞋帽,2026-08,24,17,23,12,10,11,7,0,79851.61,53,58,1.0434782608695652,0.5,0.8333333333333334,0.7391304347826086,1.1,0.30434782608695654,1506.6341509433962
服装鞋帽,2026-09,18,19,16,12,7,11,6,0,57940.34,53,61,1.125,0.6666666666666666,0.5833333333333334,1.1875,1.5714285714285714,0.375,1093.213962264151
服装鞋帽,2026-10,9,12,22,7,11,12,10,0,48541.68,44,46,0.4090909090909091,0.7777777777777778,1.5714285714285714,0.5454545454545454,1.0909090909090908,0.45454545454545453,1103.22
服装鞋帽,2026-11,16,14,22,11,5,9,14,0,53112.29,40,48,0.7272727272727273,0.6875,0.45454545454545453,0.6363636363636364,1.8,0.6363636363636364,1327.80725
服装鞋帽,2026-12,15,14,23,15,7,11,13,0,53849.41,58,62,0.6521739130434783,1.0,0.4666666666666667,0.6086956521739131,1.5714285714285714,0.5652173913043478,928.4381034482759
母婴用品,2025-01,21,27,34,19,17,10,9,0,60960.68,50,54,0.6176470588235294,0.9047619047619048,0.8947368421052632,0.7941176470588235,0.5882352941176471,0.2647058823529412,1219.2136
母婴用品,2025-02,21,10,25,14,7,4,9,0,62392.9,59,66,0.84,0.6666666666666666,0.5,0.4,0.5714285714285714,0.36,1057.506779661017
母婴用品,2025-03,21,24,33,12,23,12,8,0,55817.19,49,54,0.6363636363636364,0.5714285714285714,1.9166666666666667,0.7272727272727273,0.5217391304347826,0.24242424242424243,1139.1263265306122
母婴用品,2025-04,31,22,38,24,13,10,6,0,51488.91,47,55,0.8157894736842105,0.7741935483870968,0.5416666666666666,0.5789473684210527,0.7692307692307693,0.15789473684210525,1095.5087234042553
母婴用品,2025-05,24,25,34,15,16,9,15,0,46145.34,51,56,0.7058823529411765,0.625,1.0666666666666667,0.7352941176470589,0.5625,0.4411764705882353,904.8105882352941
母婴用品,2025-06,28,17,45,17,16,15,3,0,59094.81,49,55,0.6222222222222222,0.6071428571428571,0.9411764705882353,0.37777777777777777,0.9375,0.06666666666666667,1206.0165306122449
母婴用品,2025-07,34,19,43,21,24,9,8,0,66634.4,56,64,0.7906976744186046,0.6176470588235294,1.1428571428571428,0.4418604651162791,0.375,0.18604651162790697,1189.8999999999999
母婴用品,2025-08,19,11,34,16,9,11,9,0,63801.74,56,59,0.5588235294117647,0.8421052631578947,0.5625,0.3235294117647059,1.2222222222222223,0.2647058823529412,1139.3167857142857
母婴用品,2025-09,30,25,36,11,17,11,9,0,65460.69,61,66,0.8333333333333334,0.36666666666666664,1.5454545454545454,0.6944444444444444,0.6470588235294118,0.25,1073.1260655737706
母婴用品,2025-10,26,19,39,20,12,10,7,0,50516.479999999996,52,54,0.6666666666666666,0.7692307692307693,0.6,0.48717948717948717,0.8333333333333334,0.1794871794871795,971.4707692307692
母婴用品,2025-11,28,19,31,15,15,9,14,0,57006.86,44,47,0.9032258064516129,0.5357142857142857,1.0,0.6129032258064516,0.6,0.45161290322580644,1295.6104545454546
母婴用品,2025-12,35,23,40,22,16,10,15,0,63842.07,59,61,0.875,0.6285714285714286,0.7272727272727273,0.575,0.625,0.375,1082.0689830508475
母婴用品,2026-01,19,25,26,19,14,11,7,0,68385.65,64,66,0.7307692307692307,1.0,0.7368421052631579,0.9615384615384616,0.7857142857142857,0.2692307692307692,1068.52578125
母婴用品,2026-02,27,17,35,20,7,9,11,0,47628.99,42,48,0.7714285714285715,0.7407407407407407,0.35,0.4857142857142857,1.2857142857142858,0.3142857142857143,1134.0235714285714
母婴用品,2026-03,29,18,47,16,21,14,16,0,57081.79,44,50,0.6170212765957447,0.5517241379310345,1.3125,0.3829787234042553,0.6666666666666666,0.3404255319148936,1297.313409090909
母婴用品,2026-04,12,8,19,12,11,11,11,0,67566.17,58,65,0.631578947368421,1.0,0.9166666666666666,0.42105263157894735,1.0,0.5789473684210527,1164.9339655172414
母婴用品,2026-05,22,17,37,18,15,11,9,0,61093.75,52,60,0.5945945945945946,0.8181818181818182,0.8333333333333334,0.4594594594594595,0.7333333333333333,0.24324324324324326,1174.8798076923076
母婴用品,2026-06,26,13,37,15,18,14,14,0,74099.59,60,68,0.7027027027027027,0.5769230769230769,1.2,0.35135135135135137,0.7777777777777778,0.3783783783783784,1234.9931666666666
母婴用品,2026-07,25,22,29,17,12,16,10,0,68774.63,57,65,0.8620689655172413,0.68,0.7058823529411765,0.7586206896551724,1.3333333333333333,0.3448275862068966,1206.572456140351
母婴用品,2026-08,24,16,26,18,13,13,7,0,70833.35,52,60,0.9230769230769231,0.75,0.7222222222222222,0.6153846153846154,1.0,0.2692307692307692,1362.1798076923078
母婴用品,2026-09,21,14,30,12,15,11,10,0,48025.34,47,49,0.7,0.5714285714285714,1.25,0.4666666666666667,0.7333333333333333,0.3333333333333333,1021.815744680851
母婴用品,2026-10,27,19,41,13,9,12,7,0,75905.72,61,68,0.6585365853658537,0.48148148148148145,0.6923076923076923,0.4634146341463415,1.3333333333333333,0.17073170731707318,1244.3560655737706
母婴用品,2026-11,29,27,38,17,18,7,14,0,44517.98,43,44,0.7631578947368421,0.5862068965517241,1.0588235294117647,0.7105263157894737,0.3888888888888889,0.3684210526315789,1035.3018604651163
母婴用品,2026-12,39,27,41,22,16,14,11,0,60290.36,56,62,0.9512195121951219,0.5641025641025641,0.7272727272727273,0.6585365853658537,0.875,0.2682926829268293,1076.6135714285715
电子产品,2025-01,22,20,29,8,12,9,8,0,57795.12,51,60,0.7586206896551724,0.36363636363636365,1.5,0.6896551724137931,0.75,0.27586206896551724,1133.2376470588235
电子产品,2025-02,15,18,26,13,10,6,9,0,52292.56,48,54,0.5769230769230769,0.8666666666666667,0.7692307692307693,0.6923076923076923,0.6,0.34615384615384615,1089.4283333333333
电子产品,2025-03,22,17,35,18,15,12,16,0,50035.5,54,59,0.6285714285714286,0.8181818181818182,0.8333333333333334,0.4857142857142857,0.8,0.45714285714285713,926.5833333333334
电子产品,2025-04,15,9,22,9,8,6,5,0,66598.59,59,66,0.6818181818181818,0.6,0.8888888888888888,0.4090909090909091,0.75,0.22727272727272727,1128.7896610169491
电子产品,2025-05,15,14,25,10,9,10,15,0,42347.39,36,41,0.6,0.6666666666666666,0.9,0.56,1.1111111111111112,0.6,1176.316388888889
电子产品,2025-06,19,12,26,22,12,11,10,0,59619.3,51,55,0.7307692307692307,1.1578947368421053,0.5454545454545454,0.46153846153846156,0.9166666666666666,0.38461538461538464,1169.0058823529412
电子产品,2025-07,18,21,24,12,14,12,12,0,56863.82,49,58,0.75,0.6666666666666666,1.1666666666666667,0.875,0.8571428571428571,0.5,1160.4861224489796
电子产品,2025-08,16,18,26,11,13,8,2,0,58424.48,51,56,0.6153846153846154,0.6875,1.1818181818181819,0.6923076923076923,0.6153846153846154,0.07692307692307693,1145.5780392156864
电子产品,2025-09,15,11,23,10,6,11,7,0,67540.24,60,65,0.6521739130434783,0.6666666666666666,0.6,0.4782608695652174,1.8333333333333333,0.30434782608695654,1125.6706666666666
电子产品,2025-10,19,12,26,11,12,8,10,0,56475.44,47,52,0.7307692307692307,0.5789473684210527,1.0909090909090908,0.46153846153846156,0.6666666666666666,0.38461538461538464,1201.6051063829789
电子产品,2025-11,18,10,25,17,18,8,10,0,32690.79,38,40,0.72,0.9444444444444444,1.0588235294117647,0.4,0.4444444444444444,0.4,860.2839473684211
电子产品,2025-12,19,20,30,13,15,14,10,0,57156.26,53,57,0.6333333333333333,0.6842105263157895,1.1538461538461537,0.6666666666666666,0.9333333333333333,0.3333333333333333,1078.42
电子产品,2026-01,25,16,24,11,16,16,7,0,81391.52,65,74,1.0416666666666667,0.44,1.4545454545454546,0.6666666666666666,1.0,0.2916666666666667,1252.1772307692308
电子产品,2026-02,16,16,23,12,8,12,7,0,57844.1,46,52,0.6956521739130435,0.75,0.6666666666666666,0.6956521739130435,1.5,0.30434782608695654,1257.4804347826087
电子产品,2026-03,21,9,25,14,14,9,8,0,40652.93,39,43,0.84,0.6666666666666666,1.0,0.36,0.6428571428571429,0.32,1042.3828205128204
电子产品,2026-04,22,18,34,12,10,7,14,0,56942.94,52,58,0.6470588235294118,0.5454545454545454,0.8333333333333334,0.5294117647058824,0.7,0.4117647058823529,1095.0565384615386
电子产品,2026-05,18,16,23,12,9,15,6,0,51850.52,45,49,0.782608695652174,0.6666666666666666,0.75,0.6956521739130435,1.6666666666666667,0.2608695652173913,1152.2337777777777
电子产品,2026-06,22,13,29,12,10,8,12,0,56813.97,54,60,0.7586206896551724,0.5454545454545454,0.8333333333333334,0.4482758620689655,0.8,0.41379310344827586,1052.1105555555555
电子产品,2026-07,24,15,26,13,11,6,5,0,71092.71,60,64,0.9230769230769231,0.5416666666666666,0.8461538461538461,0.5769230769230769,0.5454545454545454,0.19230769230769232,1184.8785
电子产品,2026-08,19,18,31,20,7,12,8,0,58195.87,51,56,0.6129032258064516,1.0526315789473684,0.35,0.5806451612903226,1.7142857142857142,0.25806451612903225,1141.0954901960786
电子产品,2026-09,21,17,33,13,10,10,10,0,54096.68,50,53,0.6363636363636364,0.6190476190476191,0.7692307692307693,0.5151515151515151,1.0,0.30303030303030304,1081.9336
电子产品,2026-10,23,16,26,9,10,10,13,0,62079.84,53,58,0.8846153846153846,0.391304347826087,1.1111111111111112,0.6153846153846154,1.0,0.5,1171.3177358490566
电子产品,2026-11,13,19,14,11,10,4,6,0,45991.799999999996,44,49,0.9285714285714286,0.8461538461538461,0.9090909090909091,1.3571428571428572,0.4,0.42857142857142855,1045.2681818181818
电子产品,2026-12,20,15,26,12,14,8,11,0,64996.31,54,56,0.7692307692307693,0.6,1.1666666666666667,0.5769230769230769,0.5714285714285714,0.4230769230769231,1203.6353703703703
美妆个护,2025-01,22,12,25,13,11,8,6,0,60289.82,48,51,0.88,0.5909090909090909,0.8461538461538461,0.48,0.7272727272727273,0.24,1256.0379166666667
美妆个护,2025-02,17,25,26,12,12,12,15,0,53835.95,47,52,0.6538461538461539,0.7058823529411765,1.0,0.9615384615384616,1.0,0.5769230769230769,1145.445744680851
美妆个护,2025-03,25,26,29,16,12,12,12,0,65399.93,56,61,0.8620689655172413,0.64,0.75,0.896551724137931,1.0,0.41379310344827586,1167.8558928571429
美妆个护,2025-04,24,16,27,12,15,5,9,0,49830.909999999996,42,43,0.8888888888888888,0.5,1.25,0.5925925925925926,0.3333333333333333,0.3333333333333333,1186.450238095238
美妆个护,2025-05,26,19,31,19,11,15,6,0,47015.59,43,50,0.8387096774193549,0.7307692307692307,0.5789473684210527,0.6129032258064516,1.3636363636363635,0.1935483870967742,1093.3858139534882
美妆个护,2025-06,23,20,35,9,13,10,8,0,50222.74,58,61,0.6571428571428571,0.391304347826087,1.4444444444444444,0.5714285714285714,0.7692307692307693,0.22857142857142856,865.9093103448275
美妆个护,2025-07,15,13,28,16,12,9,5,0,62377.88,56,61,0.5357142857142857,1.0666666666666667,0.75,0.4642857142857143,0.75,0.17857142857142858,1113.8907142857142
美妆个护,2025-08,18,11,26,11,6,12,12,0,45240.66,44,47,0.6923076923076923,0.6111111111111112,0.5454545454545454,0.4230769230769231,2.0,0.46153846153846156,1028.1968181818183
美妆个护,2025-09,23,11,28,15,12,12,8,0,61630.74,50,58,0.8214285714285714,0.6521739130434783,0.8,0.39285714285714285,1.0,0.2857142857142857,1232.6148
美妆个护,2025-10,28,15,39,15,9,8,14,0,55252.090000000004,53,57,0.717948717948718,0.5357142857142857,0.6,0.38461538461538464,0.8888888888888888,0.358974358974359,1042.4922641509434
美妆个护,2025-11,13,13,26,9,13,11,8,0,47865.02,51,56,0.5,0.6923076923076923,1.4444444444444444,0.5,0.8461538461538461,0.3076923076923077,938.5298039215686
美妆个护,2025-12,20,26,31,20,13,12,10,0,42631.0,51,56,0.6451612903225806,1.0,0.65,0.8387096774193549,0.9230769230769231,0.3225806451612903,835.9019607843137
美妆个护,2026-01,23,13,27,10,11,8,13,0,55578.5,53,55,0.8518518518518519,0.43478260869565216,1.1,0.48148148148148145,0.7272727272727273,0.48148148148148145,1048.6509433962265
美妆个护,2026-02,23,28,32,27,22,11,11,0,52534.56,45,51,0.71875,1.173913043478261,0.8148148148148148,0.875,0.5,0.34375,1167.4346666666665
美妆个护,2026-03,18,18,26,21,18,9,5,0,35586.21,40,43,0.6923076923076923,1.1666666666666667,0.8571428571428571,0.6923076923076923,0.5,0.19230769230769232,889.65525
美妆个护,2026-04,26,19,31,23,17,9,16,0,52904.04,49,52,0.8387096774193549,0.8846153846153846,0.7391304347826086,0.6129032258064516,0.5294117647058824,0.5161290322580645,1079.6742857142858
美妆个护,2026-05,18,9,25,14,9,13,10,0,47102.68,38,40,0.72,0.7777777777777778,0.6428571428571429,0.36,1.4444444444444444,0.4,1239.5442105263157
美妆个护,2026-06,20,12,24,14,11,12,15,0,63000.29,61,65,0.8333333333333334,0.7,0.7857142857142857,0.5,1.0909090909090908,0.625,1032.7916393442624
美妆个护,2026-07,18,14,27,13,18,7,18,0,67610.06,56,63,0.6666666666666666,0.7222222222222222,1.3846153846153846,0.5185185185185185,0.3888888888888889,0.6666666666666666,1207.3225
美妆个护,2026-08,16,16,23,9,13,10,6,0,47651.28,52,60,0.6956521739130435,0.5625,1.4444444444444444,0.6956521739130435,0.7692307692307693,0.2608695652173913,916.3707692307692
美妆个护,2026-09,21,17,27,20,15,8,12,0,60503.15,51,57,0.7777777777777778,0.9523809523809523,0.75,0.6296296296296297,0.5333333333333333,0.4444444444444444,1186.3362745098038
美妆个护,2026-10,19,20,31,15,12,10,18,0,53780.93,51,55,0.6129032258064516,0.7894736842105263,0.8,0.6451612903225806,0.8333333333333334,0.5806451612903226,1054.5280392156862
美妆个护,2026-11,29,19,38,26,18,19,8,0,59224.57,48,52,0.7631578947368421,0.896551724137931,0.6923076923076923,0.5,1.0555555555555556,0.21052631578947367,1233.8452083333334
美妆个护,2026-12,23,20,29,14,9,7,6,0,65277.06,55,61,0.7931034482758621,0.6086956521739131,0.6428571428571429,0.6896551724137931,0.7777777777777778,0.20689655172413793,1186.8556363636362
运动户外,2025-01,20,17,20,16,10,7,9,0,73723.43,59,67,1.0,0.8,0.625,0.85,0.7,0.45,1249.5496610169491
运动户外,2025-02,23,13,27,8,12,11,9,0,49268.2,44,48,0.8518518518518519,0.34782608695652173,1.5,0.48148148148148145,0.9166666666666666,0.3333333333333333,1119.7318181818182
运动户外,2025-03,20,13,29,19,14,12,12,0,44070.35,42,48,0.6896551724137931,0.95,0.7368421052631579,0.4482758620689655,0.8571428571428571,0.41379310344827586,1049.2940476190477
运动户外,2025-04,17,13,25,13,16,11,11,0,62600.32,63,65,0.68,0.7647058823529411,1.2307692307692308,0.52,0.6875,0.44,993.655873015873
运动户外,2025-05,18,22,22,17,18,9,9,0,56495.42,44,45,0.8181818181818182,0.9444444444444444,1.0588235294117647,1.0,0.5,0.4090909090909091,1283.986818181818
运动户外,2025-06,18,22,30,14,13,13,10,0,61512.72,57,64,0.6,0.7777777777777778,0.9285714285714286,0.7333333333333333,1.0,0.3333333333333333,1079.1705263157894
运动户外,2025-07,20,22,26,18,16,14,12,0,39145.97,42,46,0.7692307692307693,0.9,0.8888888888888888,0.8461538461538461,0.875,0.46153846153846156,932.0469047619048
运动户外,2025-08,23,21,25,12,12,10,8,0,49157.28,52,56,0.92,0.5217391304347826,1.0,0.84,0.8333333333333334,0.32,945.3323076923077
运动户外,2025-09,22,23,21,14,15,15,17,0,70730.34,59,67,1.0476190476190477,0.6363636363636364,1.0714285714285714,1.0952380952380953,1.0,0.8095238095238095,1198.8193220338983
