city,ym,cart,favorite,impression,order_behavior,payment,review,share,click,gmv,order_count,item_count,ctr,cvr,payment_rate,favorite_rate,review_rate,share_rate,arpu
南京,2026-01,16,12,19,9,10,11,9,0,36636.45,16,39,0.8421052631578947,0.5625,1.1111111111111112,0.631578947368421,1.1,0.47368421052631576,2289.778125
南京,2026-02,17,16,23,14,13,14,11,0,35829.49,12,28,0.7391304347826086,0.8235294117647058,0.9285714285714286,0.6956521739130435,1.0769230769230769,0.4782608695652174,2985.790833333333
南京,2026-03,15,13,17,13,13,12,5,0,37409.14,14,38,0.8823529411764706,0.8666666666666667,1.0,0.7647058823529411,0.9230769230769231,0.29411764705882354,2672.0814285714287
南京,2026-04,9,6,10,6,5,8,6,0,50454.32,18,43,0.9,0.6666666666666666,0.8333333333333334,0.6,1.6,0.6,2803.0177777777776
南京,2026-05,19,8,17,10,8,7,5,0,57510.71,20,51,1.1176470588235294,0.5263157894736842,0.8,0.47058823529411764,0.875,0.29411764705882354,2875.5355
南京,2026-06,16,19,23,10,5,10,9,0,47423.23,24,58,0.6956521739130435,0.625,0.5,0.8260869565217391,2.0,0.391304347826087,1975.9679166666667
南京,2026-07,15,7,15,8,8,10,11,0,47675.85,21,53,1.0,0.5333333333333333,1.0,0.4666666666666667,1.25,0.7333333333333333,2270.2785714285715
南京,2026-08,16,9,20,6,6,13,8,0,35611.46,15,38,0.8,0.375,1.0,0.45,2.1666666666666665,0.4,2374.097333333333
南京,2026-09,13,14,18,9,9,9,8,0,61143.26,22,52,0.7222222222222222,0.6923076923076923,1.0,0.7777777777777778,1.0,0.4444444444444444,2779.239090909091
南京,2026-10,14,17,25,11,9,12,8,0,48021.12,13,34,0.56,0.7857142857142857,0.8181818181818182,0.68,1.3333333333333333,0.32,3693.932307692308
南京,2026-11,8,10,15,8,5,5,7,0,48365.88,17,41,0.5333333333333333,1.0,0.625,0.6666666666666666,1.0,0.4666666666666667,2845.0517647058823
南京,2026-12,16,13,22,4,7,6,3,0,23319.96,9,24,0.7272727272727273,0.25,1.75,0.5909090909090909,0.8571428571428571,0.13636363636363635,2591.1066666666666
广州,2025-01,17,9,25,13,11,7,6,0,31102.29,11,27,0.68,0.7647058823529411,0.8461538461538461,0.36,0.6363636363636364,0.24,2827.4809090909093
广州,2025-02,10,12,19,7,6,3,4,0,32115.1,14,35,0.5263157894736842,0.7,0.8571428571428571,0.631578947368421,0.5,0.21052631578947367,2293.9357142857143
广州,2025-03,20,21,28,14,17,13,15,0,63267.63,24,58,0.7142857142857143,0.7,1.2142857142857142,0.75,0.7647058823529411,0.5357142857142857,2636.15125
广州,2025-04,18,19,22,10,7,6,9,0,40927.909999999996,17,42,0.8181818181818182,0.5555555555555556,0.7,0.8636363636363636,0.8571428571428571,0.4090909090909091,2407.5241176470586
广州,2025-05,13,22,19,14,11,10,10,0,20973.79,6,16,0.6842105263157895,1.0769230769230769,0.7857142857142857,1.1578947368421053,0.9090909090909091,0.5263157894736842,3495.6316666666667
广州,2025-06,21,20,31,20,12,13,7,0,39756.25,14,36,0.6774193548387096,0.9523809523809523,0.6,0.6451612903225806,1.0833333333333333,0.22580645161290322,2839.7321428571427
广州,2025-07,10,14,23,8,8,9,7,0,54331.369999999995,21,52,0.43478260869565216,0.8,1.0,0.6086956521739131,1.125,0.30434782608695654,2587.208095238095
广州,2025-08,15,13,19,11,11,10,5,0,56928.7,25,60,0.7894736842105263,0.7333333333333333,1.0,0.6842105263157895,0.9090909090909091,0.2631578947368421,2277.1479999999997
广州,2025-09,15,10,27,10,12,14,10,0,60349.49,26,66,0.5555555555555556,0.6666666666666666,1.2,0.37037037037037035,1.1666666666666667,0.37037037037037035,2321.1342307692307
广州,2025-10,22,16,24,12,6,8,7,0,50483.65,17,43,0.9166666666666666,0.5454545454545454,0.5,0.6666666666666666,1.3333333333333333,0.2916666666666667,2969.6264705882354
广州,2025-11,13,15,19,13,13,11,6,0,42708.63,19,43,0.6842105263157895,1.0,1.0,0.7894736842105263,0.8461538461538461,0.3157894736842105,2247.822631578947
广州,2025-12,14,11,18,10,7,8,6,0,33429.909999999996,17,41,0.7777777777777778,0.7142857142857143,0.7,0.6111111111111112,1.1428571428571428,0.3333333333333333,1966.4652941176469
广州,2026-01,27,10,28,10,11,6,13,0,69081.15,25,66,0.9642857142857143,0.37037037037037035,1.1,0.35714285714285715,0.5454545454545454,0.4642857142857143,2763.2459999999996
广州,2026-02,16,18,22,17,15,12,9,0,33143.7,14,32,0.7272727272727273,1.0625,0.8823529411764706,0.8181818181818182,0.8,0.4090909090909091,2367.407142857143
广州,2026-03,19,9,26,12,12,4,6,0,28860.15,12,35,0.7307692307692307,0.631578947368421,1.0,0.34615384615384615,0.3333333333333333,0.23076923076923078,2405.0125000000003
广州,2026-04,20,15,26,12,7,8,7,0,28259.7,11,27,0.7692307692307693,0.6,0.5833333333333334,0.5769230769230769,1.1428571428571428,0.2692307692307692,2569.0636363636363
广州,2026-05,13,12,27,10,10,11,6,0,40301.57,16,42,0.48148148148148145,0.7692307692307693,1.0,0.4444444444444444,1.1,0.2222222222222222,2518.848125
广州,2026-06,14,9,23,9,6,6,6,0,62404.46,26,65,0.6086956521739131,0.6428571428571429,0.6666666666666666,0.391304347826087,1.0,0.2608695652173913,2400.1715384615386
广州,2026-07,13,10,19,9,10,7,5,0,45427.43,16,41,0.6842105263157895,0.6923076923076923,1.1111111111111112,0.5263157894736842,0.7,0.2631578947368421,2839.214375
广州,2026-08,20,17,25,10,10,7,10,0,45582.49,19,49,0.8,0.5,1.0,0.68,0.7,0.4,2399.0784210526313
广州,2026-09,8,4,20,6,4,9,4,0,17293.53,7,18,0.4,0.75,0.6666666666666666,0.2,2.25,0.2,2470.5042857142857
广州,2026-10,15,16,25,8,9,7,7,0,74780.67,29,73,0.6,0.5333333333333333,1.125,0.64,0.7777777777777778,0.28,2578.6437931034484
广州,2026-11,11,11,15,10,7,6,11,0,46708.16,18,45,0.7333333333333333,0.9090909090909091,0.7,0.7333333333333333,0.8571428571428571,0.7333333333333333,2594.897777777778
广州,2026-12,12,12,13,6,6,6,7,0,61360.4,20,51,0.9230769230769231,0.5,1.0,0.9230769230769231,1.0,0.5384615384615384,3068.02
成都,2025-01,15,15,22,12,8,7,9,0,41514.14,17,41,0.6818181818181818,0.8,0.6666666666666666,0.6818181818181818,0.875,0.4090909090909091,2442.0082352941176
成都,2025-02,13,12,21,14,8,9,9,0,54269.66,18,47,0.6190476190476191,1.0769230769230769,0.5714285714285714,0.5714285714285714,1.125,0.42857142857142855,3014.981111111111
成都,2025-03,17,14,23,11,10,8,8,0,39102.41,15,39,0.7391304347826086,0.6470588235294118,0.9090909090909091,0.6086956521739131,0.8,0.34782608695652173,2606.8273333333336
成都,2025-04,12,15,16,9,11,8,9,0,37828.74,17,42,0.75,0.75,1.2222222222222223,0.9375,0.7272727272727273,0.5625,2225.22
成都,2025-05,17,11,24,16,9,8,9,0,25506.1,13,33,0.7083333333333334,0.9411764705882353,0.5625,0.4583333333333333,0.8888888888888888,0.375,1962.0076923076922
成都,2025-06,7,16,18,11,12,7,2,0,63164.48,22,57,0.3888888888888889,1.5714285714285714,1.0909090909090908,0.8888888888888888,0.5833333333333334,0.1111111111111111,2871.1127272727276
成都,2025-07,11,8,20,13,11,9,7,0,41397.78,18,45,0.55,1.1818181818181819,0.8461538461538461,0.4,0.8181818181818182,0.35,2299.8766666666666
成都,2025-08,17,9,20,11,9,7,6,0,30822.38,14,40,0.85,0.6470588235294118,0.8181818181818182,0.45,0.7777777777777778,0.3,2201.5985714285716
成都,2025-09,19,20,29,14,9,6,5,0,63370.98,25,65,0.6551724137931034,0.7368421052631579,0.6428571428571429,0.6896551724137931,0.6666666666666666,0.1724137931034483,2534.8392000000003
成都,2025-10,15,14,19,13,8,8,7,0,41236.21,16,37,0.7894736842105263,0.8666666666666667,0.6153846153846154,0.7368421052631579,1.0,0.3684210526315789,2577.263125
成都,2025-11,16,8,23,9,8,10,5,0,42585.57,18,43,0.6956521739130435,0.5625,0.8888888888888888,0.34782608695652173,1.25,0.21739130434782608,2365.865
成都,2025-12,15,14,16,12,9,6,6,0,39072.979999999996,17,43,0.9375,0.8,0.75,0.875,0.6666666666666666,0.375,2298.4105882352937
成都,2026-01,13,11,22,6,6,8,6,0,52733.52,26,62,0.5909090909090909,0.46153846153846156,1.0,0.5,1.3333333333333333,0.2727272727272727,2028.2123076923076
成都,2026-02,18,16,22,14,11,11,2,0,51795.37,24,64,0.8181818181818182,0.7777777777777778,0.7857142857142857,0.7272727272727273,1.0,0.09090909090909091,2158.1404166666666
成都,2026-03,13,9,21,5,10,10,14,0,37723.78,16,39,0.6190476190476191,0.38461538461538464,2.0,0.42857142857142855,1.0,0.6666666666666666,2357.73625
成都,2026-04,13,13,15,6,7,5,5,0,41277.88,18,45,0.8666666666666667,0.46153846153846156,1.1666666666666667,0.8666666666666667,0.7142857142857143,0.3333333333333333,2293.2155555555555
成都,2026-05,14,8,20,13,2,8,7,0,50011.24,22,58,0.7,0.9285714285714286,0.15384615384615385,0.4,4.0,0.35,2273.2381818181816
成都,2026-06,15,10,18,12,5,7,8,0,50371.16,21,50,0.8333333333333334,0.8,0.4166666666666667,0.5555555555555556,1.4,0.4444444444444444,2398.626666666667
成都,2026-07,15,9,19,5,12,9,6,0,64814.18,23,58,0.7894736842105263,0.3333333333333333,2.4,0.47368421052631576,0.75,0.3157894736842105,2818.0078260869564
成都,2026-08,20,14,25,15,11,11,7,0,47455.64,19,48,0.8,0.75,0.7333333333333333,0.56,1.0,0.28,2497.6652631578945
成都,2026-09,16,9,24,9,8,7,2,0,50166.59,21,55,0.6666666666666666,0.5625,0.8888888888888888,0.375,0.875,0.08333333333333333,2388.885238095238
成都,2026-10,16,10,22,4,7,8,13,0,54707.87,22,56,0.7272727272727273,0.25,1.75,0.45454545454545453,1.1428571428571428,0.5909090909090909,2486.7213636363635
成都,2026-11,17,16,27,19,12,8,9,0,48205.31,19,48,0.6296296296296297,1.1176470588235294,0.631578947368421,0.5925925925925926,0.6666666666666666,0.3333333333333333,2537.121578947368
成都,2026-12,16,20,22,16,8,11,9,0,40658.909999999996,12,32,0.7272727272727273,1.0,0.5,0.9090909090909091,1.375,0.4090909090909091,3388.2425
杭州,2025-01,14,13,16,10,13,10,7,0,34929.81,13,30,0.875,0.7142857142857143,1.3,0.8125,0.7692307692307693,0.4375,2686.9084615384613
杭州,2025-02,20,21,29,15,13,5,8,0,59588.48,22,52,0.6896551724137931,0.75,0.8666666666666667,0.7241379310344828,0.38461538461538464,0.27586206896551724,2708.5672727272727
杭州,2025-03,16,7,20,5,7,8,5,0,37479.950000000004,15,35,0.8,0.3125,1.4,0.35,1.1428571428571428,0.25,2498.6633333333334
杭州,2025-04,20,14,24,18,10,3,5,0,41314.08,16,36,0.8333333333333334,0.9,0.5555555555555556,0.5833333333333334,0.3,0.20833333333333334,2582.13
杭州,2025-05,12,13,25,9,8,9,10,0,56531.32,20,50,0.48,0.75,0.8888888888888888,0.52,1.125,0.4,2826.566
杭州,2025-06,14,14,28,14,15,10,7,0,46470.5,19,50,0.5,1.0,1.0714285714285714,0.5,0.6666666666666666,0.25,2445.815789473684
杭州,2025-07,11,11,17,11,11,12,6,0,30331.33,14,35,0.6470588235294118,1.0,1.0,0.6470588235294118,1.0909090909090908,0.35294117647058826,2166.5235714285714
杭州,2025-08,14,11,25,9,5,8,8,0,43383.92,19,43,0.56,0.6428571428571429,0.5555555555555556,0.44,1.6,0.32,2283.3642105263157
杭州,2025-09,17,16,16,11,15,6,8,0,36410.78,12,27,1.0625,0.6470588235294118,1.3636363636363635,1.0,0.4,0.5,3034.2316666666666
杭州,2025-10,17,11,25,8,5,4,7,0,52856.46,21,57,0.68,0.47058823529411764,0.625,0.44,0.8,0.28,2516.9742857142855
杭州,2025-11,11,10,21,4,10,11,7,0,48186.35,15,34,0.5238095238095238,0.36363636363636365,2.5,0.47619047619047616,1.1,0.3333333333333333,3212.423333333333
杭州,2025-12,11,8,21,10,5,3,5,0,41664.340000000004,17,44,0.5238095238095238,0.9090909090909091,0.5,0.38095238095238093,0.6,0.23809523809523808,2450.843529411765
杭州,2026-01,12,14,17,16,10,11,4,0,47900.979999999996,19,50,0.7058823529411765,1.3333333333333333,0.625,0.8235294117647058,1.1,0.23529411764705882,2521.1042105263155
杭州,2026-02,18,7,23,13,14,8,13,0,24214.49,12,31,0.782608695652174,0.7222222222222222,1.0769230769230769,0.30434782608695654,0.5714285714285714,0.5652173913043478,2017.8741666666667
杭州,2026-03,9,11,18,6,9,9,5,0,40639.54,18,45,0.5,0.6666666666666666,1.5,0.6111111111111112,1.0,0.2777777777777778,2257.7522222222224
杭州,2026-04,13,14,22,13,9,7,7,0,53181.95,19,47,0.5909090909090909,1.0,0.6923076923076923,0.6363636363636364,0.7777777777777778,0.3181818181818182,2799.0499999999997
杭州,2026-05,19,16,20,12,11,10,3,0,36628.53,16,36,0.95,0.631578947368421,0.9166666666666666,0.8,0.9090909090909091,0.15,2289.283125
杭州,2026-06,18,17,30,10,7,6,4,0,42275.91,18,44,0.6,0.5555555555555556,0.7,0.5666666666666667,0.8571428571428571,0.13333333333333333,2348.661666666667
杭州,2026-07,9,7,16,8,9,11,10,0,53900.76,21,53,0.5625,0.8888888888888888,1.125,0.4375,1.2222222222222223,0.625,2566.7028571428573
杭州,2026-08,13,8,14,6,4,10,8,0,52411.13,22,55,0.9285714285714286,0.46153846153846156,0.6666666666666666,0.5714285714285714,2.5,0.5714285714285714,2382.324090909091
杭州,2026-09,18,19,23,15,8,12,7,0,52574.59,19,48,0.782608695652174,0.8333333333333334,0.5333333333333333,0.8260869565217391,1.5,0.30434782608695654,2767.083684210526
杭州,2026-10,13,6,20,12,10,13,7,0,74019.62,25,66,0.65,0.9230769230769231,0.8333333333333334,0.3,1.3,0.35,2960.7848
杭州,2026-11,16,12,21,10,12,7,8,0,56021.67,19,46,0.7619047619047619,0.625,1.2,0.5714285714285714,0.5833333333333334,0.38095238095238093,2948.508947368421
杭州,2026-12,22,17,27,20,15,11,10,0,66120.25,21,52,0.8148148148148148,0.9090909090909091,0.75,0.6296296296296297,0.7333333333333333,0.37037037037037035,3148.5833333333335
武汉,2025-01,18,13,23,9,10,6,5,0,49458.6,21,53,0.782608695652174,0.5,1.1111111111111112,0.5652173913043478,0.6,0.21739130434782608,2355.1714285714284
武汉,2025-02,14,11,26,6,7,6,10,0,29252.67,14,37,0.5384615384615384,0.42857142857142855,1.1666666666666667,0.4230769230769231,0.8571428571428571,0.38461538461538464,2089.4764285714286
武汉,2025-03,14,6,22,12,8,5,8,0,41657.56,19,51,0.6363636363636364,0.8571428571428571,0.6666666666666666,0.2727272727272727,0.625,0.36363636363636365,2192.503157894737
武汉,2025-04,12,15,23,16,12,13,7,0,35525.23,20,52,0.5217391304347826,1.3333333333333333,0.75,0.6521739130434783,1.0833333333333333,0.30434782608695654,1776.2615
武汉,2025-05,21,10,18,13,9,9,5,0,56135.27,22,61,1.1666666666666667,0.6190476190476191,0.6923076923076923,0.5555555555555556,1.0,0.2777777777777778,2551.603181818182
武汉,2025-06,18,10,19,11,4,4,7,0,46364.25,17,42,0.9473684210526315,0.6111111111111112,0.36363636363636365,0.5263157894736842,1.0,0.3684210526315789,2727.3088235294117
武汉,2025-07,16,15,18,13,12,10,3,0,38937.39,14,35,0.8888888888888888,0.8125,0.9230769230769231,0.8333333333333334,0.8333333333333334,0.16666666666666666,2781.242142857143
武汉,2025-08,18,13,18,10,10,5,5,0,38831.8,15,33,1.0,0.5555555555555556,1.0,0.7222222222222222,0.5,0.2777777777777778,2588.786666666667
武汉,2025-09,22,21,25,12,9,9,4,0,44906.68,20,52,0.88,0.5454545454545454,0.75,0.84,1.0,0.16,2245.334
武汉,2025-10,16,15,19,9,11,5,3,0,60166.81,20,48,0.8421052631578947,0.5625,1.2222222222222223,0.7894736842105263,0.45454545454545453,0.15789473684210525,3008.3405
武汉,2025-11,15,7,20,11,11,10,10,0,31964.98,13,32,0.75,0.7333333333333333,1.0,0.35,0.9090909090909091,0.5,2458.8446153846153
武汉,2025-12,26,15,30,12,11,9,7,0,44318.69,20,44,0.8666666666666667,0.46153846153846156,0.9166666666666666,0.5,0.8181818181818182,0.23333333333333334,2215.9345000000003
武汉,2026-01,14,12,19,14,13,13,7,0,36310.63,12,29,0.7368421052631579,1.0,0.9285714285714286,0.631578947368421,1.0,0.3684210526315789,3025.8858333333333
武汉,2026-02,22,14,24,17,10,7,14,0,25199.91,10,29,0.9166666666666666,0.7727272727272727,0.5882352941176471,0.5833333333333334,0.7,0.5833333333333334,2519.991
武汉,2026-03,22,17,27,11,14,8,7,0,38039.2,13,35,0.8148148148148148,0.5,1.2727272727272727,0.6296296296296297,0.5714285714285714,0.25925925925925924,2926.0923076923073
武汉,2026-04,11,14,18,8,9,8,6,0,61030.32,23,59,0.6111111111111112,0.7272727272727273,1.125,0.7777777777777778,0.8888888888888888,0.3333333333333333,2653.4921739130436
武汉,2026-05,16,8,22,7,9,6,7,0,33373.2,14,34,0.7272727272727273,0.4375,1.2857142857142858,0.36363636363636365,0.6666666666666666,0.3181818181818182,2383.7999999999997
武汉,2026-06,16,13,24,13,6,6,2,0,41827.04,18,48,0.6666666666666666,0.8125,0.46153846153846156,0.5416666666666666,1.0,0.08333333333333333,2323.7244444444445
