platform,ym,cart,favorite,impression,order_behavior,payment,review,share,click,gmv,order_count,item_count,ctr,cvr,payment_rate,favorite_rate,review_rate,share_rate,arpu
douyin,2026-05,53,36,76,25,20,31,18,0,95246.31,38,95,0.6973684210526315,0.4716981132075472,0.8,0.47368421052631576,1.55,0.23684210526315788,2506.4818421052632
douyin,2026-06,63,52,87,30,24,19,24,0,157374.52,68,165,0.7241379310344828,0.47619047619047616,0.8,0.5977011494252874,0.7916666666666666,0.27586206896551724,2314.331176470588
douyin,2026-07,55,46,73,27,26,18,20,0,119839.65,50,122,0.7534246575342466,0.4909090909090909,0.9629629629629629,0.6301369863013698,0.6923076923076923,0.273972602739726,2396.7929999999997
douyin,2026-08,60,45,87,37,27,31,20,0,155409.22,63,157,0.6896551724137931,0.6166666666666667,0.7297297297297297,0.5172413793103449,1.1481481481481481,0.22988505747126436,2466.813015873016
douyin,2026-09,52,42,73,33,20,27,19,0,125353.94,51,134,0.7123287671232876,0.6346153846153846,0.6060606060606061,0.5753424657534246,1.35,0.2602739726027397,2457.920392156863
douyin,2026-10,54,35,76,29,30,22,27,0,170535.63999999998,60,150,0.7105263157894737,0.5370370370370371,1.0344827586206897,0.4605263157894737,0.7333333333333333,0.35526315789473684,2842.2606666666666
douyin,2026-11,51,49,80,31,23,21,23,0,147750.36,60,152,0.6375,0.6078431372549019,0.7419354838709677,0.6125,0.9130434782608695,0.2875,2462.506
douyin,2026-12,56,45,79,46,32,27,20,0,160437.9,59,147,0.7088607594936709,0.8214285714285714,0.6956521739130435,0.569620253164557,0.84375,0.25316455696202533,2719.286440677966
jd,2025-01,48,42,58,52,34,34,34,0,132769.2,60,144,0.8275862068965517,1.0833333333333333,0.6538461538461539,0.7241379310344828,1.0,0.5862068965517241,2212.82
jd,2025-02,51,51,65,45,39,32,39,0,135308.04,54,135,0.7846153846153846,0.8823529411764706,0.8666666666666667,0.7846153846153846,0.8205128205128205,0.6,2505.7044444444446
jd,2025-03,55,53,80,47,50,44,47,0,127449.03,48,124,0.6875,0.8545454545454545,1.0638297872340425,0.6625,0.88,0.5875,2655.188125
jd,2025-04,51,50,68,30,35,23,29,0,162318.88,62,150,0.75,0.5882352941176471,1.1666666666666667,0.7352941176470589,0.6571428571428571,0.4264705882352941,2618.046451612903
jd,2025-05,52,40,63,49,29,36,33,0,83390.37,35,85,0.8253968253968254,0.9423076923076923,0.5918367346938775,0.6349206349206349,1.2413793103448276,0.5238095238095238,2382.582
jd,2025-06,63,59,78,51,41,36,22,0,148047.45,66,176,0.8076923076923077,0.8095238095238095,0.803921568627451,0.7564102564102564,0.8780487804878049,0.28205128205128205,2243.143181818182
jd,2025-07,46,45,66,48,32,29,27,0,106987.88,48,118,0.696969696969697,1.0434782608695652,0.6666666666666666,0.6818181818181818,0.90625,0.4090909090909091,2228.914166666667
jd,2025-08,47,37,55,30,28,34,22,0,111318.6,51,126,0.8545454545454545,0.6382978723404256,0.9333333333333333,0.6727272727272727,1.2142857142857142,0.4,2182.717647058824
jd,2025-09,55,50,68,41,39,40,35,0,145469.86000000002,57,136,0.8088235294117647,0.7454545454545455,0.9512195121951219,0.7352941176470589,1.0256410256410255,0.5147058823529411,2552.102807017544
jd,2025-10,63,59,86,48,37,29,33,0,132618.48,53,131,0.7325581395348837,0.7619047619047619,0.7708333333333334,0.686046511627907,0.7837837837837838,0.38372093023255816,2502.2354716981135
jd,2025-11,48,35,59,32,42,39,39,0,139554.62,52,131,0.8135593220338984,0.6666666666666666,1.3125,0.5932203389830508,0.9285714285714286,0.6610169491525424,2683.7426923076923
jd,2025-12,60,51,69,38,53,35,34,0,123724.13,52,133,0.8695652173913043,0.6333333333333333,1.394736842105263,0.7391304347826086,0.660377358490566,0.4927536231884058,2379.3101923076924
jd,2026-01,56,41,58,35,40,40,41,0,145681.57,57,146,0.9655172413793104,0.625,1.1428571428571428,0.7068965517241379,1.0,0.7068965517241379,2555.81701754386
jd,2026-02,54,51,69,49,50,39,34,0,110214.89,46,109,0.782608695652174,0.9074074074074074,1.0204081632653061,0.7391304347826086,0.78,0.4927536231884058,2395.975869565217
jd,2026-03,51,40,70,43,39,37,40,0,142828.05,54,137,0.7285714285714285,0.8431372549019608,0.9069767441860465,0.5714285714285714,0.9487179487179487,0.5714285714285714,2644.9638888888885
jd,2026-04,53,39,62,39,27,40,35,0,184276.84,74,190,0.8548387096774194,0.7358490566037735,0.6923076923076923,0.6290322580645161,1.4814814814814814,0.5645161290322581,2490.2275675675673
jd,2026-05,53,41,53,37,32,35,23,0,115505.05,47,121,1.0,0.6981132075471698,0.8648648648648649,0.7735849056603774,1.09375,0.4339622641509434,2457.554255319149
jd,2026-06,56,38,65,43,36,32,38,0,150259.34,59,149,0.8615384615384616,0.7678571428571429,0.8372093023255814,0.5846153846153846,0.8888888888888888,0.5846153846153846,2546.7684745762713
jd,2026-07,42,47,57,36,33,37,35,0,160102.72,63,161,0.7368421052631579,0.8571428571428571,0.9166666666666666,0.8245614035087719,1.121212121212121,0.6140350877192983,2541.313015873016
jd,2026-08,66,51,68,49,35,43,31,0,131823.78,55,140,0.9705882352941176,0.7424242424242424,0.7142857142857143,0.75,1.2285714285714286,0.45588235294117646,2396.796
jd,2026-09,48,46,61,44,45,40,28,0,152049.09,59,146,0.7868852459016393,0.9166666666666666,1.0227272727272727,0.7540983606557377,0.8888888888888888,0.45901639344262296,2577.103220338983
jd,2026-10,43,43,64,33,31,44,40,0,122945.33,49,124,0.671875,0.7674418604651163,0.9393939393939394,0.671875,1.4193548387096775,0.625,2509.088367346939
jd,2026-11,62,54,80,50,48,34,27,0,158892.92,52,123,0.775,0.8064516129032258,0.96,0.675,0.7083333333333334,0.3375,3055.633076923077
jd,2026-12,54,43,61,37,30,33,29,0,115645.62,43,110,0.8852459016393442,0.6851851851851852,0.8108108108108109,0.7049180327868853,1.1,0.47540983606557374,2689.4330232558136
taobao,2025-01,54,42,79,36,31,20,22,0,189837.69,69,176,0.6835443037974683,0.6666666666666666,0.8611111111111112,0.5316455696202531,0.6451612903225806,0.27848101265822783,2751.2708695652173
taobao,2025-02,56,49,86,31,28,20,22,0,203466.18,80,205,0.6511627906976745,0.5535714285714286,0.9032258064516129,0.5697674418604651,0.7142857142857143,0.2558139534883721,2543.32725
taobao,2025-03,59,56,89,41,42,27,29,0,185730.28,78,202,0.6629213483146067,0.6949152542372882,1.024390243902439,0.6292134831460674,0.6428571428571429,0.3258426966292135,2381.157435897436
taobao,2025-04,57,39,70,38,28,28,22,0,181841.52,78,194,0.8142857142857143,0.6666666666666666,0.7368421052631579,0.5571428571428572,1.0,0.3142857142857143,2331.3015384615383
taobao,2025-05,65,59,83,42,28,31,24,0,178545.5,66,171,0.7831325301204819,0.6461538461538462,0.6666666666666666,0.7108433734939759,1.1071428571428572,0.2891566265060241,2705.2348484848485
taobao,2025-06,64,60,86,45,40,31,24,0,228968.2,81,207,0.7441860465116279,0.703125,0.8888888888888888,0.6976744186046512,0.775,0.27906976744186046,2826.767901234568
taobao,2025-07,73,47,96,43,45,26,22,0,176822.12,71,181,0.7604166666666666,0.589041095890411,1.0465116279069768,0.4895833333333333,0.5777777777777777,0.22916666666666666,2490.452394366197
taobao,2025-08,52,52,78,36,31,29,25,0,181353.79,70,169,0.6666666666666666,0.6923076923076923,0.8611111111111112,0.6666666666666666,0.9354838709677419,0.32051282051282054,2590.7684285714286
taobao,2025-09,70,42,88,33,26,28,21,0,156362.82,65,160,0.7954545454545454,0.4714285714285714,0.7878787878787878,0.4772727272727273,1.0769230769230769,0.23863636363636365,2405.581846153846
taobao,2025-10,65,56,101,45,37,28,29,0,213877.56,77,194,0.6435643564356436,0.6923076923076923,0.8222222222222222,0.5544554455445545,0.7567567567567568,0.2871287128712871,2777.6306493506495
taobao,2025-11,54,42,80,42,33,29,23,0,182167.54,69,170,0.675,0.7777777777777778,0.7857142857142857,0.525,0.8787878787878788,0.2875,2640.109275362319
taobao,2025-12,53,47,69,29,25,17,25,0,164529.08,72,181,0.7681159420289855,0.5471698113207547,0.8620689655172413,0.6811594202898551,0.68,0.36231884057971014,2285.1261111111107
taobao,2026-01,57,42,75,47,35,27,20,0,222160.96,89,221,0.76,0.8245614035087719,0.7446808510638298,0.56,0.7714285714285715,0.26666666666666666,2496.1905617977527
taobao,2026-02,62,52,98,51,42,26,31,0,162731.16,67,162,0.6326530612244898,0.8225806451612904,0.8235294117647058,0.5306122448979592,0.6190476190476191,0.3163265306122449,2428.8232835820895
taobao,2026-03,47,35,83,32,36,32,17,0,137982.01,57,147,0.5662650602409639,0.6808510638297872,1.125,0.42168674698795183,0.8888888888888888,0.20481927710843373,2420.73701754386
taobao,2026-04,49,38,67,40,31,32,33,0,178551.62,72,175,0.7313432835820896,0.8163265306122449,0.775,0.5671641791044776,1.032258064516129,0.4925373134328358,2479.883611111111
taobao,2026-05,64,44,86,44,36,31,17,0,195173.46,71,182,0.7441860465116279,0.6875,0.8181818181818182,0.5116279069767442,0.8611111111111112,0.19767441860465115,2748.921971830986
taobao,2026-06,50,39,85,36,34,33,21,0,201392.24,86,214,0.5882352941176471,0.72,0.9444444444444444,0.4588235294117647,0.9705882352941176,0.24705882352941178,2341.7702325581395
taobao,2026-07,60,38,77,36,36,36,40,0,254571.02,88,218,0.7792207792207793,0.6,1.0,0.4935064935064935,1.0,0.5194805194805194,2892.8525
taobao,2026-08,44,39,73,33,33,23,23,0,215646.99,73,187,0.6027397260273972,0.75,1.0,0.5342465753424658,0.696969696969697,0.3150684931506849,2954.0683561643837
taobao,2026-09,63,51,79,37,29,28,21,0,219423.1,83,208,0.7974683544303798,0.5873015873015873,0.7837837837837838,0.6455696202531646,0.9655172413793104,0.26582278481012656,2643.651807228916
taobao,2026-10,67,55,88,45,30,24,28,0,212208.07,80,208,0.7613636363636364,0.6716417910447762,0.6666666666666666,0.625,0.8,0.3181818181818182,2652.600875
taobao,2026-11,61,42,78,46,28,27,32,0,153085.7,63,154,0.782051282051282,0.7540983606557377,0.6086956521739131,0.5384615384615384,0.9642857142857143,0.41025641025641024,2429.931746031746
taobao,2026-12,63,53,81,32,33,29,20,0,222984.07,85,218,0.7777777777777778,0.5079365079365079,1.03125,0.654320987654321,0.8787878787878788,0.24691358024691357,2623.342
